FileNo,APINo,SpudDate,completion mo,CurrentWellName,CurrentOperator,Wellbore,WellType,WellStatus,Latitude,Longitude
138,33105000760000,10/20/52,11/1/52,BEAVER LODGE-MADISON UNIT     M-4,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.253247,-102.944133
160,33105000920000,10/13/52,11/1/52,BEAVER LODGE-MADISON UNIT     H-6,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.260571,-102.970473
153,33105000860000,10/4/52,12/1/52,BEAVER LODGE-MADISON UNIT     L-22,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.318409,-102.948493
204,33105001210000,10/25/52,12/1/52,BEAVER LODGE-MADISON UNIT     O-25,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.329294,-102.933397
199,33061000130000,11/1/52,12/1/52,TIOGA-MADISON UNIT     K-135,HESS CORPORATION,VERTICAL,OG,PA,48.48300769,-102.8828627
183,33105001100000,10/31/52,12/1/52,BEAVER LODGE-MADISON UNIT     P-20,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.311164,-102.927863
188,33105001130000,11/10/52,12/1/52,TIOGA-MADISON UNIT     E-143,"HESS BAKKEN INVESTMENTS II, LLC",VERTICAL,WI,TA,48.511895,-102.915207
198,33105001190000,11/4/52,12/1/52,BEAVER LODGE-MADISON UNIT     R-30,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.347436,-102.917353
202,33105001200000,11/7/52,12/1/52,BEAVER LODGE-MADISON UNIT     E-7,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.264217,-102.986739
163,33105000950000,11/9/52,12/1/52,BEAVER LODGE-MADISON UNIT     S-25,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.329327,-102.911797
157,33105000890000,11/5/52,12/1/52,TIOGA-MADISON UNIT     I-143,AMERADA HESS CORPORATION,VERTICAL,OG,PA,48.511876,-102.893436
